code_geo,latitude,longitude,city_code,zip_code,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
88050,48.22199245,6.768635874,belmont sur buttant,88600,10,0,710
88051,48.259343754,5.915472928,belmont sur vair,88800,0,0,1308
88052,48.091042262,6.089046305,belrupt,88260,3,0,878
88053,48.408924192,7.073658381,belval,88210,3,0,1429
88054,48.264231737,7.062321741,bertrimoutier,88520,16,0,2051
88055,48.303450262,6.313827443,bettegney st brice,88450,12,0,1795
88056,48.341215251,6.166319841,bettoncourt,88500,4,0,490
88057,48.304717332,7.062523376,le beulay,88490,5,0,513
88058,48.324964191,5.953622175,biecourt,88170,6,0,602
88059,48.213321086,6.815878468,biffontaine,88430,23,0,3737
88060,48.357916282,6.042830391,blemerey,88500,0,0,149
88061,48.067138655,5.95703085,bleurville,88410,6,0,938
88062,48.122663579,5.693625535,blevaincourt,88320,0,0,609
88063,48.219375297,6.309445387,bocquegney,88270,3,0,310
88064,48.241817452,6.803307769,bois de champ,88600,7,0,609
88065,48.102497823,6.063321671,bonvillet,88260,0,0,803
88066,48.372580687,6.086228166,boulaincourt,88500,19,0,615
88068,48.302739109,6.810358869,la bourgonce,88470,60,0,4859
88069,48.260106677,6.32075541,bouxieres aux bois,88270,26,0,862
88070,48.33147657,6.231874151,bouxurulles,88130,24,0,935
88071,48.250680412,6.24017904,bouzemont,88270,12,0,384
88073,48.347186348,6.277730728,brantigny,88130,36,0,1407
88074,48.363612718,5.50588047,brechainville,88350,0,0,139
88075,48.018398054,6.925729718,la bresse,88250,342,0,23733
88076,48.242480029,6.73008231,brouvelieures,88600,35,0,3064
88077,48.353711964,6.688405643,bru,88700,20,0,2666
88078,48.213050599,6.716213859,bruyeres,88600,152,0,24189
88079,48.209973357,5.841230301,bulgneville,88140,67,0,7025
88080,48.299195017,6.596643203,bult,88700,29,0,1825
88081,47.891463343,6.876732741,bussang,88540,38,0,9400
88082,48.450223842,6.968732075,celles sur plaine,88110,35,0,4412
88083,48.317065135,5.735424734,certilleux,88300,12,0,1970
88084,48.408233035,6.292721148,chamagne,88130,21,0,3615
88085,48.128376289,6.759753711,champdray,88640,11,0,1242
88086,48.192905963,6.729686352,champ le duc,88600,18,0,4266
88087,48.167292057,6.419648231,chantraine,88000,398,0,21805
88088,48.028313382,6.322744636,la chapelle aux bois,88240,42,0,10406
88089,48.178517824,6.806131952,la chapelle devant bruyeres,88600,40,0,3798
88090,48.384835262,6.318579588,charmes,88130,389,0,22887
88091,48.171174377,6.592135068,charmois devant bruyeres,88460,17,0,2446
88092,48.091252135,6.261406922,charmois l orgueilleux,88270,25,0,3380
88093,48.364989844,7.038487892,chatas,88210,0,0,432
88094,48.31992268,6.401003984,chatel sur moselle,88330,97,0,9755
88095,48.309334425,5.826499784,chatenois,88170,76,0,11578
88096,47.949170182,5.877555312,chatillon sur saone,88410,0,0,1587
88097,48.333180615,6.155625057,chauffecourt,88500,3,0,117
88098,48.173341601,6.332192875,chaumousey,88390,138,0,8287
88099,48.227812673,6.430090836,chavelot,88150,416,0,9312
88100,48.353538275,6.008460224,chef haut,88500,3,0,248
